raw name,cleaned name,first_appearance,last_appearance,count,title
Elan Harper,Elan Harper,2024-01-10,2025-03-10,158,Policy Advisor
Elana Cherry,Elana Cherry,2014-06-04,2014-06-04,1,"Associate Director, GIVD, TPD"
Elana Harper,Elan Harper,2024-10-25,2024-10-25,1,Policy Advisor
Elana Mitchell,Elana Mitchell,2021-02-18,2021-02-18,1,Special Regional Assistant to the Minister
Elana Pal,Elana Pal,2016-11-09,2016-11-09,1,Senior Officer
Elden Marques,Elder Marques,2016-12-01,2016-12-01,1,Chief of Staff
Elder Bains,Elder Bains,2016-02-04,2016-02-04,1,Chief of Staff
Elder C. Marques,Elder Marques,2017-02-28,2020-02-25,2,Chief of Staff
Elder Maques,Elder Marquez,2018-11-26,2018-11-26,1,Senior Advisor
Elder Marques,Elder Marques,2016-01-11,2020-09-15,393,Chief of Staff
Elder Marquez,Elder Marquez,2016-02-08,2019-03-27,7,Senior Advisor
Elders Marques,Elders Marques,2020-09-16,2020-09-16,1,"Chief of Staff, Finance"
Eldon Holder,Eldon Holder,2021-03-19,2021-03-19,1,Director
Eleaine Michaud,Elaine Michaud,2013-06-12,2013-06-12,1,Member of Parliament
Eleanor Catenaro,Eleanor Catenaro,2018-10-16,2018-10-16,1,Press Secretary
Eleanor Haine-bennett,Eleanor Haine-bennett,2020-10-22,2020-10-22,1,Program Officer
Eleanor Hornback,Eleanor Hornback,2024-06-05,2024-06-05,1,Senior Policy Advisor
Eleanor Hughes,Eleanor Hughes,2021-12-16,2023-03-21,7,Director of Policy
Eleanor Hugues,Eleanor Hugues,2022-03-02,2022-03-02,1,Senior Advisor
Eleanor Johnston,Eleanor Johnston,2009-05-12,2010-03-30,5,Senior Special Assistant
Eleanor Ryan,Eleanor Ryan,2008-07-21,2022-10-18,33,"Senior Chief, Structural Initiatives"
Eleanor Toews,Eleanor Toews,2021-02-24,2021-06-29,3,Manager
Eleanore Catenaro,Eleanore Catenaro,2014-10-06,2020-06-12,2,Director of Communications
Elena Humeniuk,Elena Humeniuk,2019-03-22,2019-04-16,2,Program Manager
Elena Lungu,Elena Lungu,2015-07-29,2020-12-09,2,Manager
Elena Milicevic,Elena Milicevic,2019-05-01,2019-05-01,1,Policy Analyst
Elena Mitchel,Elena Mitchel,2021-12-16,2021-12-16,1,Senior Operations Manager
Elena Mitchell,Elena Mitchell,2020-04-09,2025-05-15,36,Senior Operations Manager
Elena Pierce,Elena Pierce,2023-08-29,2023-08-29,1,Acting Manager
Eleonora Di Salvo,Eleonora Di Salvo,2022-10-28,2022-10-28,1,"Manager, Alcohol Policy"
Eleonore Rupprecht,Eleonore Rupprecht,2024-08-28,2025-03-28,4,Trade Commissioner
Elevanee Veeramalay,Elvanee Veeramalay,2018-10-18,2018-10-18,1,Stakeholder Relations Advisor
Eli Ahsassi,Eli Ahsassi,2016-05-02,2016-05-02,1,Member of Parliament
Eli Arkin,Eli Arkin,2024-02-21,2024-02-21,1,Senior Environmental Advisor
Eli Ehassi,Eli Ahsassi,2023-10-18,2023-10-18,1,Member of Parliament
Eli Kallab,Eli Kallab,2023-07-05,2023-07-05,1,"Policy Advisor, Stakeholder Relations"
Eli Salibi,Eli Salibi,2009-05-01,2010-08-03,9,Policy Advisor
Eli Schuster,Eli Schuster,2008-11-27,2008-11-27,1,Communications Advisor
Elias Abourizk,Elias Abourizk,2018-08-24,2024-10-03,13,"Director, Policy and Negotiations"
Elias Collette,Elias Collette,2023-09-28,2023-09-28,1,Director General
Elias Nelson,Elias Nelson,2019-03-28,2020-12-02,6,Senior Advisor
Elias Rafoul,Elias Rafoul,2019-05-09,2019-05-09,1,"Vice President, Accreditation Services"
Elie Kabab,Elie Kabab,2024-03-13,2024-03-13,1,Director of Policy
Elie Kallab,Elie Kallab,2023-02-17,2025-01-16,59,Director of Policy
Elie Salebi,Eli Salibi,2010-03-09,2010-03-09,1,Policy Advisor
Elie Salibi,Elie Salibi,2008-11-17,2013-12-12,117,Policy Advisor
Elin Miller,Elin Miller,2018-05-01,2020-05-19,2,Senior Policy Analyst
Eline Hu,Eline Hu,2019-04-02,2019-04-09,5,"Advisor, Parliamentary Affairs"
Elinor Mcnamee,Elinor Mcnamee,2020-05-19,2020-05-19,1,Specialist
Eliot Bergeron,Eliot Bergeron,2025-01-16,2025-01-16,1,Communications Assistant
Eliot Hughes,Eliot Hughes,2016-02-24,2017-09-14,4,Policy Advisor
Eliot Phillipson,Eliot Phillipson,2009-03-23,2009-03-23,1,President
Eliott Hewitt,Elliot Hewitt,2023-10-17,2023-10-17,1,Manager
Eliott Lockington,Elliott Lockington,2016-10-07,2023-02-15,3,Chief of Staff
Elisa Golberg,Elissa A Golberg,2016-05-19,2016-05-19,1,Assistant Deputy Minister
Elisa Kaltcheva,Elisa Kaltcheva,2015-11-24,2015-11-24,1,Senior Desk Officer
Elisa Lieff,Elisa Lieff,2012-01-18,2012-01-18,1,Senior General Counsel
Elisa Mayhew,Elisa Mayhew,2014-10-29,2014-10-29,1,Assistant Comptroller General
Elisabeth Anctil,Elisabeth Anctil,2023-10-03,2023-10-03,1,Senior Development Officer
Elisabeth Bertrand,Elisabeth Bertrand,2014-10-03,2019-05-08,3,Acting Executive Director
Elisabeth Briere,Elisabeth Briere,2020-02-04,2025-02-27,95,Member of Parliament
Elisabeth Chatillon,Elisabeth Chatillon,2009-04-09,2009-04-09,1,Assistant Deputy Minister
Elisabeth D'amours,Elisabeth Damours,2021-03-01,2025-05-15,207,Policy Advisor
Elisabeth D'armours,Elisabeth Damours,2022-09-20,2022-09-20,1,Policy Advisor
Elisabeth Damour,Elisabeth Damours,2023-08-25,2023-08-25,1,Policy Advisor
Elisabeth Eid,Elisabeth Eid,2020-11-15,2020-11-27,2,Assistant Deputy Minister
Elisabeth Hubley,Elizabeth Hubley,2015-02-03,2015-02-03,1,Senator
Elisabeth Humphrey,Elisabeth Humphrey,2020-05-19,2020-05-19,1,Analyst
Elisabeth Huot,Elisabeth Huot,2025-05-14,2025-05-14,1,Trade Policy Officer
Elisabeth Lander,Elisabeth Lander,2019-02-04,2019-02-04,1,Associate Director
Elisabeth Lang,Elisabeth Lang,2022-10-14,2022-10-14,1,"Superintendent, OSB"
Elisabeth Lecoursiere,Elisabeth Lecoursiere,2019-07-03,2019-07-03,1,"Director, Outreach and Marketing"
Elisabeth May,Elizabeth May,2014-11-24,2019-06-11,5,Member of Parliament
Elisabeth Paul,Elisabeth Paul,2023-11-09,2023-11-09,1,Chief of Staff | Executive Assistant to the Minister
Elisabetta Kerr,Elisabetta Kerr,2024-10-04,2024-10-04,1,"Analyst and Economist, Indigenous Policy and Northern Division"
Elisapee Sheutiatik,Elisapee Sheutiatik,2012-12-12,2012-12-12,1,"Director, Regional Affairs"
Elise Boisjoly,Elise Boisjoly,2019-07-05,2021-06-18,5,Assistant Deputy Minister
Elise Lacaille,Elise Lacaille,2025-01-13,2025-01-14,2,Policy Analyst
Elise Laiolino,Elise Laiolino,2018-05-22,2018-05-22,1,Special Assistant
Elise Lavigne,Elise Lavigne,2019-11-27,2021-05-14,2,"Director, National Programs, Fisheries Resource Management"
Elise Maiolino,Elise Maiolino,2018-04-05,2021-06-11,39,Senior Gender and Diversity Advisor
Elise Racine,Elise Racine,2014-03-20,2014-03-20,1,Senior Policy Analyst
Elise Renaud,Elise Renaud,2023-05-19,2024-11-19,5,Director
Elise Saint-martin,Elise Saint-martin,2018-11-22,2018-11-22,1,Executive Assistant
Elise Wagner,Elise Wagner,2019-01-08,2024-06-25,159,Director of Policy
