raw name,cleaned name,first_appearance,last_appearance,count,title
Abibatou Ka,Abibatou Ka,2022-03-08,2022-03-08,1,Policy Analyst
Abid Harb,Abed Harb,2017-03-30,2017-03-30,1,Senior Policy Advisor
Abigail Aquino-annobil,Abigail Aquino-annobil,2024-10-22,2024-11-26,3,Executive Assistant
Abigail Creach,Abigail Creach,2024-04-29,2024-04-29,3,Legislative Assistant
Abigail Garwood,Abigail Garwood,2019-02-26,2025-02-19,29,Policy Advisor
Abigail Grawood,Abigail Grawood,2019-04-11,2019-04-11,1,"Special Assistant, Parliamentary Affairs"
Abigail Lixfeld,Abigail Lixfeld,2014-07-16,2025-03-10,32,Senior Director
Abigail Sullivan,Abigail Sullivan,2023-12-12,2023-12-12,1,Policy Analyst
Abigail Thomas,Abigail Thomas,2021-02-18,2021-02-18,1,Senior Industry Development Officer
Abigayle Gaumont,Abigayle Gaumont,2022-10-26,2022-10-26,1,"Policy Analyst, Future Skills"
Abina Dann,Abina Dann,2012-02-23,2012-02-23,1,Consul General
Abishek Raj,Abhishek Raj,2024-01-09,2024-01-09,1,Senior Policy Advisor
Abla Hanna,Abla Hanna,2017-11-08,2025-03-04,11,Director of Operations
Ablonczy Diane,Diane Ablonczy,2009-06-04,2009-06-04,1,"Minister of State, Small Business and Tourism"
Aboubakar Mounchili,Aboubakar Mounchili,2024-02-13,2024-02-13,1,Acting Director
Aboulatif Zlad,Aboulatif Zlad,2016-11-17,2016-11-17,1,Member of Parliament
Abra Adamo,Abra Adamo,2020-09-11,2020-09-11,1,Advisor
Abraham Tachjian,Abraham Tachjian,2022-04-21,2023-11-15,23,Open Banking Lead
Abubakar Khan,Abubakar Khan,2015-10-29,2024-06-04,4,"Director, Business Advisory"
Ada Luz Rodriguez,Ada Luz Rodriguez,2024-06-18,2024-06-18,1,Principal Commercial Delegate
Adair Heuchan,Adair Heuchan,2011-10-18,2011-10-18,1,"Minister-Counselor and Deputy Permanent Representative, Canada to the FAO"
Adam Arsenault,Adam Arsenault,2016-04-12,2022-01-26,5,Director
Adam Austen,Adam Austen,2016-03-10,2019-04-16,13,Legislative Assistant
Adam Balkovec,Adam Balkovec,2024-12-17,2024-12-17,1,Senior Legal Counsel
Adam Barbolet,Adam Barbolet,2017-09-13,2021-03-10,38,Counsellor and Senior Trade Commissioner
Adam Barratt,Adam Barratt,2017-12-06,2025-02-03,3,Director General
Adam Baylen-stern,Adam Baylin-stern,2017-03-23,2017-03-23,1,Policy Advisor
Adam Baylin Stern,Adam Baylin-stern,2017-06-12,2017-06-12,1,Policy Advisor
Adam Baylin- Stern,Adam Baylin-stern,2016-07-04,2016-07-04,1,Policy Advisor
Adam Baylin-stern,Adam Baylin-stern,2016-06-15,2017-12-01,129,Policy Advisor
Adam Baylin-sterns,Adam Baylin-sterns,2017-04-28,2017-04-28,1,Senior Policy Advisor
Adam Baylis-stern,Adam Baylis-stern,2017-05-30,2017-05-30,1,Advisor
Adam Bergren,Adam Bergren,2020-06-22,2024-06-12,15,Acting Director
Adam Bilnick,Adam Bilnick,2009-07-14,2009-07-14,1,Special Assistant
Adam Black,Adam Black,2023-01-24,2023-01-24,1,Policy Analyst
Adam Blinick,Adam Blinick,2008-12-15,2013-10-08,274,Director of Policy
Adam Blinik,Adam Blinick,2011-05-30,2013-06-26,3,Director of Policy
Adam Buffone,Adam Buffone,2024-05-06,2024-05-06,1,Associate Director
Adam Burns,Adam Burns,2013-03-26,2025-05-16,64,Assistant Deputy Minister
Adam Caroll,Adam Carroll,2018-10-17,2021-11-01,4,Chief of Staff
Adam Carr,Adam Carroll,2022-04-20,2022-04-20,1,Chief of Staff
Adam Carrol,Adam Carroll,2021-05-20,2021-06-25,2,Chief of Staff
Adam Carroll,Adam Carroll,2017-10-17,2023-05-10,81,Chief of Staff
Adam Chalmers,Adam Chalmers,2013-11-27,2013-11-27,1,Director of Policy
Adam Chamber,Adam Chamber,2013-09-05,2013-09-05,1,Director of Policy
Adam Chambers,Adam Chambers,2008-07-16,2025-04-03,558,Member of Parliament
Adam Church,Adam Church,2009-04-21,2012-11-23,69,Senior Policy Advisor
Adam Colley,Adam Colley,2022-03-03,2022-03-03,1,"Senior Analyst, Office of Program Renewal"
Adam Cull,Adam Cull,2015-12-02,2019-03-05,3,Sector Specialist
Adam Daylin-stern,Adam Baylin-stern,2017-01-31,2017-01-31,1,Policy Advisor
Adam Deochand,Adam Deochand,2023-11-23,2023-11-23,2,Policy Analyst
Adam Deverett,Adam Deverett,2024-10-31,2024-10-31,1,Policy Advisor
Adam Dick,Adam Dick,2023-11-06,2023-11-06,1,"Project Manager, Forest Research"
Adam Doane,Adam Doane,2017-05-23,2021-05-27,6,Science Advisor
Adam Exton,Adam Exton,2017-03-03,2021-02-18,47,"Director, Parliamentary Affairs"
Adam Fallenbuchl,Adam Fallenbuchl,2023-05-04,2023-05-04,1,Senior Economist
Adam Fanaki,Adam Fanaki,2009-05-05,2009-09-24,3,Acting Senior Deputy Commissioner
Adam Flores,Adam Flores,2018-05-09,2024-11-13,11,Manager
Adam Gibson,Adam Gibson,2010-09-21,2017-04-20,4,Acting CEO
Adam Giles,Adam Giles,2012-01-04,2012-01-04,1,Senior Specialist
Adam Gordon,Adam Gordon,2023-11-17,2025-05-28,44,Senior Policy Advisor
Adam Grech,Adam Grech,2017-01-16,2024-09-03,14,Director of Operations
Adam Green,Adam Green,2018-12-06,2018-12-06,1,Manager
Adam Hartfield,Adam Hatfield,2017-09-21,2017-09-21,1,Senior Director
Adam Hatfield,Adam Hatfield,2015-09-17,2018-05-31,5,Senior Director
Adam Hayes,Adam Hayes,2010-04-20,2010-04-20,1,Senior Policy Analyst
Adam Hendriks,Adam Hendriks,2012-01-31,2012-01-31,1,"Director, Operations Western Canada"
Adam Hutchens,Adam Hutchens,2025-04-25,2025-04-25,1,Senior Relationship Manager
Adam Jacques,Adam Jacques,2022-07-22,2022-07-22,1,"Deputy Director, Deputy Minister Office"
Adam Koerverden,Adam Koerverden,2022-10-28,2023-05-23,2,Member of Parliament
Adam Koeverden,Adam Koerverden,2020-07-22,2020-07-22,2,Member of Parliament
Adam Lamont,Adam Lamont,2020-07-03,2020-07-03,1,Chief Operating Officer
Adam Larouche,Adam Larouche,2016-09-20,2023-09-26,11,Executive Assistant
Adam Levine,Adam Levine,2023-05-30,2023-05-30,1,"Team Leader, Aboriginal Consultation and Participant Funding"
Adam Levins,Adam Levins,2017-03-15,2017-03-15,1,Senior Advisor
Adam Ludofsky,Adam Ludofsky,2021-01-14,2021-01-14,1,Senior Policy Advisor
Adam Lufkosky,Adam Lukofsky,2021-11-08,2021-11-08,1,Senior Policy Advisor
Adam Lufofsky,Adam Lufofsky,2020-12-14,2020-12-14,1,"Advisor, Quebec"
Adam Lukofsku,Adam Ludofsky,2020-09-04,2020-09-04,1,Senior Policy Advisor
Adam Lukofsky,Adam Lukofsky,2020-04-24,2023-09-11,109,Senior Policy Advisor
Adam Lukovsky,Adam Lukovsky,2020-06-25,2022-12-21,2,Policy Advisor
Adam Martin,Adam Martin,2018-10-10,2019-02-06,3,Tax Policy Officer
Adam Moore,Adam Moore,2014-11-18,2024-12-09,29,Staffer
Adam Moscoe,Adam Moscoe,2016-01-11,2016-05-15,10,Policy Advisor
Adam Moser,Adam Moser,2017-10-05,2017-11-30,3,Senior Analyst
Adam Murphy,Adam Murphy,2016-03-08,2016-03-08,1,Assistant
Adam Nadege,Adam Nadege,2016-06-29,2016-06-29,1,Advisor
