raw name,cleaned name,first_appearance,last_appearance,count,title
Karolina Todorovic,Karolina Todorovic,2025-01-22,2025-01-22,1,"Director, Strategic Innovation Fund"
Karra-lee Gerrits,Karra-lee Gerrits,2016-04-15,2016-04-15,1,"Counsellor, Commercial"
Kartik Krishnan,Kartik Krishnan,2024-07-31,2024-07-31,1,"Senior Specialist, Strategy, Product and Risk Management"
Kash Ram,Kash Ram,2008-12-02,2014-10-05,16,Director General
Kasha Piquette,Kasha Piquette,2023-07-04,2023-07-04,1,Deputy Minister
Kasi Mcmicking,Kasi Mcmicking,2009-04-28,2025-05-29,44,Associate Assistant Deputy Minister
Kasia Adamiec,Kasia Adamiec,2024-10-29,2024-10-29,1,Analyst
Kasim Habib,Kazim Habib,2019-05-02,2019-05-02,1,Policy Advisor
Kasondra White,Kasondra White,2020-12-09,2025-02-06,29,Director
Kasra Najatian,Kasra Nejatian,2012-09-06,2012-09-06,1,Director of Strategic Planning
Kasra Nejatian,Kasra Nejatian,2011-08-23,2012-10-15,7,Director of Strategic Planning
Kassandra Fiore,Kassandra Fiore,2020-08-19,2025-02-28,36,Policy Advisor
Kassandra Mcmicking,Kassandra Mcmicking,2010-01-26,2024-03-20,4,"Senior Policy Analyst, Social Development Policy"
Kassandra Neville,Kassandra Neville,2022-07-13,2023-05-12,3,Student
Kassanra Fiore,Kassandra Fiore,2024-03-26,2024-03-26,1,Policy Advisor
Kassim Ali,Kassim Ali,2016-08-09,2016-08-09,1,Senior Scientific Evaluator
Kassondra Tyers,Kassondra Tyers,2022-08-15,2022-08-15,1,Analyst
Kat Pipin,Kat Pipin,2020-09-24,2020-09-24,1,"Senior Advisor, Community Investment and Stakeholder Engagement"
Kat Starkey,Kat Starkey,2024-06-11,2024-06-11,1,Deputy Director
Katalijn Macafee,Katalijn Macafee,2020-04-08,2020-04-08,1,"Manager, Cumulative Effects Secretariat"
Katarina Batta,Katarina Batta,2017-05-09,2017-05-09,1,Sector Analyst
Katarina Pintar,Katarina Pintar,2023-01-12,2024-02-14,5,Director of Policy
Katarina Stephenson,Katarina Stephenson,2020-07-27,2022-03-17,10,Director General
Kate Barlow,Kate Barlow,2022-07-11,2022-07-11,1,"Senior Industry Development Officer, Market and Industry Services Branch"
Kate Batta,Kate Batta,2023-01-05,2023-04-29,5,Senior Market Development Officer
Kate Belanger,Kate Belanger,2013-08-29,2013-08-29,1,"Principal Secretary, Leader of the Opposition"
Kate Bezanson,Kate Bezanson,2022-10-28,2024-12-09,39,Special Advisor
Kate Bigney,Kate Bigney,2020-11-06,2023-02-22,7,Deputy Director
Kate Binnie,Kate Binnie,2024-03-26,2025-03-06,5,Director General
Kate Burke,Kate Burke,2022-01-27,2023-01-23,2,Director General
Kate Cavallaro,Kate Cavallaro,2022-08-15,2022-08-15,1,Manager
Kate Chung,Kate Chung,2023-12-11,2023-12-11,1,"Co-Chair, Accessible Housing Network Community Partner"
Kate Churchill-smith,Kate Churchill-smith,2025-01-13,2025-01-13,1,First Secretary
Kate Dunn,Kate Dunn,2012-11-22,2012-11-22,2,Executive Assistant
Kate Durand,Kate Durand,2025-02-18,2025-02-18,1,"Vice President, Pan-Territorial Operations"
Kate Ekuwa Smith,Kate Ekuwa Smith,2021-03-19,2021-03-19,1,Manager
Kate Fillmore,Kate Fillmore,2020-02-03,2020-02-03,1,"Manager, Dispute Resolution"
Kate Harper,Kate Harper,2021-01-04,2023-11-09,5,Director of Tour
Kate Hoveland,Kate Hoveland,2020-06-24,2020-06-24,1,"Director, Resource Access"
Kate Hoye,Kate Hoye,2018-10-24,2019-04-25,4,Assistant Director
Kate Kooka,Kate Kooka,2021-05-20,2024-04-05,3,Manager
Kate Ladell,Kate Ladell,2021-02-09,2025-01-06,15,Director General
Kate Lalumiere,Kate Lalumiere,2024-01-17,2024-01-17,1,Economic Analyst
Kate Ledgerwood,Kate Ledgerwood,2011-10-11,2024-12-19,11,"Acting Director, NPMO Policy"
Kate Leneyaar,Kate Leneyaar,2013-09-12,2013-09-12,1,Policy Advisor
Kate Leyenaar,Kate Leyenaar,2012-10-26,2019-03-05,101,Policy Advisor
Kate Leyennar,Kate Leyennar,2014-04-29,2014-04-29,1,Policy Advisor
Kate Leynaar,Kate Leyennar,2012-10-03,2012-10-03,1,Policy Advisor
