raw name,cleaned name,first_appearance,last_appearance,count,title
Radhika Sriram,Radhika Sriram,2021-12-01,2022-11-22,3,Executive Assistant
Radian Gurov,Radian Gurov,2016-12-13,2016-12-13,1,"Manager, Policy Management"
Radina Petrova,Radina Petrova,2021-06-29,2021-07-09,2,Program Officer
Radm Patrick Finn,Radm Patrick Finn,2014-01-27,2014-01-27,1,Chief of Staff
Radm Scott Bishop,Radm Scott Bishop,2020-01-20,2020-01-20,1,"Commander, CFINTCOM"
Radm Scott Seg Bishop,Radm Scott Seg Bishop,2018-10-02,2018-10-02,1,"Commander, CFINTCOM"
Rady Barrack,Rady Barrack,2019-04-17,2019-04-17,1,Director of Operations
Rae Gunn,Rae Gunn,2022-03-22,2022-04-08,3,"Manager, Outreach and Community Initiatives"
Rafael Jacob,Rafael Jacob,2009-06-12,2009-06-12,1,"Special Assistant, Policy"
Rafee Hoque,Rafee Hoque,2019-05-27,2023-04-03,5,Economist and Data Analyst
Raffi Bedrossian,Raffi Bedrossian,2023-02-27,2023-02-27,1,Director
Rafic Grine,Rafic Grine,2020-06-26,2020-06-26,1,Ministerial Staff
Rafik Grine,Rafik Grine,2020-04-27,2021-11-19,37,Policy Advisor
Rag Grewal,Raj Grewal,2017-10-02,2017-10-02,1,Member of Parliament
Ragan Siddarth,Ragan Siddarth,2025-02-06,2025-02-06,1,Executive Director
Raghav Chadha,Raghav Chadha,2023-09-15,2025-03-21,12,Investment Analyst
Raghed Al-areibi,Raghed Al-areibi,2022-01-11,2022-05-04,4,Parliamentary Assistant
Rahel Merissa,Rahel Merissa,2023-02-13,2023-09-25,4,Senior Policy Officer
Rahika Sitsabaiesan,Rathika Sitsabaiesan,2013-11-29,2013-11-29,1,Member of Parliament
Rahil Khan,Rahil Khan,2017-09-19,2022-12-20,50,"Deputy Director, Natural Gas"
Rahim Charania,Rahim Charania,2023-03-08,2023-03-08,1,"Director, Cyber Security Strategy and Design"
Rahima Mian,Rahima Mian,2024-09-24,2025-02-05,6,Policy Advisor
Rahmat Amy Kassam,Rahmat Amy Kassam,2023-05-09,2023-05-09,1,Acting Chief of Investor Services
Rahmat Kassam,Rahmat Kassam,2011-10-28,2011-11-08,2,Legislative Assistant
Rahmat Kassim,Rahmat Kassim,2024-01-22,2024-01-22,1,Chief Strategy Officer
Rahul Bedi,Rahul Bedi,2012-11-08,2015-07-09,54,Policy Advisor
Rahul Devaskar,Rahul Devaskar,2023-06-06,2024-10-18,2,TCS Officer
Rahul Jain,Rahul Jain,2020-11-20,2020-11-20,1,Constituency Assistant
Rahul Walia,Rahul Walia,2024-04-17,2024-11-27,25,Regional Advisor
Rainer Engelhardt,Rainer Engelhardt,2010-04-06,2015-04-01,36,Assistant Deputy Minister
Rainer Englehardt,Rainer Englehardt,2010-12-07,2014-05-28,6,Assistant Deputy Minister
Rainier Engelhardt,Rainier Englehardt,2010-08-26,2012-05-22,2,Assistant Deputy Minister
Rainier Englehardt,Rainier Englehardt,2010-11-03,2012-11-22,3,Assistant Deputy Minister
Raitt,Raitt,2009-09-16,2009-09-16,1,"Minister, Natural Resources"
Raitt Lisa,Raitt Lisa,2009-09-16,2009-09-16,1,Minister
Raj Abhishek,Raj Abhishek,2025-03-04,2025-03-04,1,Senior Policy Advisor
Raj Gill,Raj Gill,2024-04-25,2025-02-05,3,Special Assistant
Raj Grewal,Raj Grewal,2016-01-22,2019-05-24,113,Member of Parliament
Raj Saini,Raj Saini,2015-11-24,2021-08-10,208,Member of Parliament
Raj Sainj,Raj Saini,2017-05-02,2017-05-02,1,Member of Parliament
Raj Sainy,Raj Saini,2017-11-09,2017-11-09,1,Member of Parliament
Raj Sanai,Raj Saini,2015-12-10,2018-05-29,2,Member of Parliament
Raj Sani,Raj Saini,2019-12-19,2019-12-19,1,Member of Parliament
Raj Shoan,Raj Shoan,2013-09-26,2015-03-05,5,"Regional Commissioner, Ontario"
Raj Thuppal,Raj Thuppal,2016-02-03,2025-05-07,178,Assistant Deputy Minister
Rajani Alexander,Rajani Alexander,2009-05-04,2009-05-04,1,Director
Rajat Ghosh,Rajat Ghosh,2025-04-17,2025-05-15,2,Manager
Rajeev Ludu,Rajeev Ludu,2018-07-26,2025-05-28,2,Senior Business Officer
Rajesh Sharma,Rajesh Sharma,2013-12-09,2013-12-09,1,"Senior Vice President, Business Development"
Rajiv Gupta,Rajiv Gupta,2022-01-21,2025-04-24,40,Associate Head
Rajotte James,Rajotte James,2010-11-16,2014-04-08,3,Member of Parliament
Rakesh Manhas,Rakesh Manhas,2012-09-20,2012-09-20,1,Senior Economist
Rakesh Patry,Rakesh Patry,2015-12-09,2023-05-25,9,Director General
Rakhi Dhawan,Rakhi Dhawan,2019-06-04,2019-06-04,1,"Manager, Registered Charities"
Rakhra Balsharan,Rakhra Balsharan,2021-04-20,2021-06-16,2,Senior Policy Advisor
Ralph Collins,Ralph Collins,2017-10-31,2017-10-31,1,Director General
Ralph Goodalde,Ralph Goodalde,2014-12-16,2014-12-16,1,Member of Parliament
Ralph Goodale,Ralph Goodale,2009-05-12,2025-05-14,457,Member of Parliament
Ralph Gooddale,Ralph Gooddale,2011-11-02,2017-11-21,2,"Minister, Public Safety"
Ralph Goodlale,Ralph Goodalde,2014-02-25,2014-02-25,1,Member of Parliament
Ralph Kerr,Ralph Kerr,2021-04-22,2021-04-22,1,Constituency Assistant
Ralph Lysyshyn,Ralph Lysyshyn,2012-05-15,2013-02-25,3,Special Advisor
Ralph Paroli,Ralph Paroli,2019-05-01,2019-05-01,1,"Director, Research and Development"
Raluca Boros,Raluca Boros,2017-10-24,2017-10-24,1,Assistant Director
Raluca Tudor,Raluca Tudor,2022-08-31,2022-08-31,1,Trade Commissioner
Raluca Tudor-petcu,Raluca Tudor-petcu,2024-08-08,2025-03-19,3,Trade Commissioner
Ram Mathilakath,Ram Mathilakath,2011-10-26,2011-10-26,1,"Director, Corporate Finance and Due Diligence"
Ram Zi Jammal,Ram Zi Jammal,2010-06-03,2010-06-03,1,"Vice President, Regulatory Operations"
Raman Sandhu,Raman Sandhu,2021-01-29,2021-01-30,2,Quarantine Operations Manager
Raman Srivastava,Raman Srivastava,2021-05-28,2021-10-29,2,Assistant Deputy Minister
Raman Yousif,Raman Yousif,2023-08-18,2023-08-18,1,Science and Technology Advisor
Rambod Afsari,Rambod Afsari,2020-04-06,2020-04-06,1,Community Advisor
Rambod Afshari,Rambod Afshari,2020-07-24,2020-07-24,1,Special Assistant
Rambod Behboodi,Rambod Behboodi,2015-02-27,2015-02-27,1,Deputy Commissioner
Rames Ayoub,Rames Ayoub,2018-02-20,2018-02-20,1,Member of Parliament
Ramesh Gupta,Ramesh Gupta,2010-07-22,2010-08-19,2,Industrial Technology Advisor
Ramesh Ramesh,Ramesh Ramesh,2019-02-19,2019-02-19,1,Member of Parliament
Ramesh Sadhankar,Ramesh Sadhankar,2022-08-24,2022-08-24,1,Senior Advisor
Ramesh Sangha,Ramesh Sangha,2016-02-02,2021-06-09,66,Member of Parliament
Ramesh Shangha,Ramesh Sangha,2017-02-08,2017-02-08,1,Member of Parliament
Ramez Ayoub,Ramez Ayoub,2016-03-08,2022-02-03,47,Member of Parliament
Rami Acouri,Rami Acouri,2015-04-29,2015-04-29,1,"Senior Director, Major Projects Services"
