raw name,cleaned name,first_appearance,last_appearance,count,title
Sandenga Yeba,Sandenga Yeba,2020-07-29,2025-06-06,463,Senior Policy Advisor
Sandhya Chari,Sandhya Chari,2023-09-21,2023-09-21,1,Legal Counsel
Sandor Demeter,Sandor Demeter,2019-06-18,2019-06-18,1,Commission Member
Sandra Alderdice,Sandra Alderdice,2016-11-22,2017-11-21,4,Regulatory Affairs Supervisor
Sandra Arsenault,Sandra Arsenault,2022-07-29,2022-07-29,1,Director General
Sandra Arseneault,Sandra Arsenault,2022-07-07,2022-07-07,1,Director General
Sandra Aube,Sandra Aube,2018-08-25,2022-11-26,37,Chief of Staff
Sandra Bales,Sandra Bales,2020-11-25,2024-11-19,2,Member's Assistant
Sandra Barancira,Sandra Barancira,2024-12-11,2024-12-11,1,"First Secretary, Sudan International Assistance"
Sandra Buckler,Sandra Buckler,2009-08-06,2012-11-30,66,Chief of Staff
Sandra Charles,Sandra Charles,2023-05-31,2023-05-31,1,Director
Sandra Chisholm,Sandra Chisholm,2013-01-17,2013-04-03,2,Director
Sandra Courchesne,Sandra Courchesne,2019-02-28,2019-02-28,1,Senior Staff Officer
Sandra Devries,Sandra Devries,2025-02-04,2025-02-04,1,Research Programs and Partnerships
Sandra Donatucci,Sandra Donatucci,2021-08-04,2021-08-04,1,Chief of Marketing
Sandra Dunn,Sandra Dunn,2008-12-15,2011-02-10,3,"Chief, Financial Sector Stability"
Sandra Dykxhoorn,Sandra Dykxhoorn,2013-09-06,2014-11-21,5,"Director, Parliamentary Affairs"
Sandra Finigan,Sandra Finigan,2022-04-27,2022-04-27,1,Constituency Assistant
Sandra Freedman,Sandra Freedman,2014-09-25,2015-06-22,3,Policy and Regional Affairs Advisor
Sandra Freeman,Sandra Freeman,2012-10-18,2012-10-18,1,"Director, Accommodation Policy and Planning"
Sandra Fry,Sandra Fry,2015-02-20,2015-02-20,1,Director General
Sandra Gagne,Sandra Gagne,2008-08-08,2022-11-01,20,Regional Director
Sandra Ganou,Sandra Ganou,2018-05-01,2018-05-01,1,"Junior Analyst, Peace Operations, Stabilization and Conflict Policy Division"
Sandra George,Sandra George,2021-05-31,2022-05-06,4,"Program Coordinator, Great Lakes Harmful Pollutants"
Sandra Harder,Sandra Harder,2012-06-14,2017-01-30,3,"Director General, Immigration"
Sandra Hassan,Sandra Hassan,2017-07-27,2025-02-06,53,Deputy Minister
Sandra Labbe,Sandra Labbe,2023-12-20,2023-12-20,1,"Acting Director General, Defense Major Projects Sector"
Sandra Lafortune,Sandra Lafortune,2013-10-24,2021-04-28,13,"Director General, International Relations and Trade Policy"
Sandra Lambe,Sandra Lambe,2023-05-02,2023-05-11,2,"Director General, Regional Operations"
Sandra Larson,Sandra Larson,2022-06-14,2025-02-07,4,Regional Director General
