raw name,cleaned name,first_appearance,last_appearance,count,title
Orissa Lennie,Oryssia Lennie,2009-04-17,2009-04-17,1,Deputy Minister
Orli Joseph,Orli Joseph,2012-09-19,2013-06-11,3,Special Assistant
Oryssia Lennie,Oryssia Lennie,2009-02-10,2009-05-08,4,Deputy Minister
Oshada Mendis,Oshada Mendis,2018-08-14,2021-08-06,3,Science and Technology Advisor
Osman Naqvi,Osman Naqvi,2020-06-26,2025-01-29,27,Parliamentary Secretary
Osob Daar,Osob Daar,2022-07-19,2022-07-19,1,Senior Advisor
Osvaldo Sandoval,Osvaldo Sandoval,2023-06-19,2023-06-19,1,Policy Analyst
Oszren Jungic,Oszren Jungic,2021-12-14,2021-12-14,1,Policy Advisor to the Prime Minister
Otto Andrew,Otto Andrew,2009-11-11,2009-11-11,1,Senior Tax Policy Officer
Ouafa Benchekroun,Ouafa Benchekroun,2013-07-31,2013-07-31,1,"Senior Economist, Policy Analysis and Coordination"
Ouassim Meguellati,Ouassim Meguellati,2015-01-13,2015-01-27,2,Director General
Ouellett Annie,Ouellett Annie,2025-04-08,2025-04-08,1,Advisor
Oujjal Dosanjh,Oujjal Dosanjh,2011-03-02,2011-03-02,1,Health Critic
Oula Hreich,Oula Hreiche,2022-08-23,2022-08-23,1,Policy Analyst
Oula Hreiche,Oula Hreiche,2022-11-01,2023-05-04,2,Policy Analyst
Oula Sanduga,Oula Sanduga,2014-03-14,2014-03-14,1,Executive Assistant
Oussamah Tami,Oussamah Tami,2023-05-10,2023-05-10,1,Deputy Director
Oussamah Tamim,Oussamah Tamim,2023-06-15,2023-06-15,1,EduCanada Brand and Mission Support
Outhwaite Krista,Outhwaite Krista,2011-05-17,2011-05-17,1,Associate Deputy Minister
Owen Lippert,Owen Lippert,2008-08-15,2008-08-25,2,Senior Policy Advisor
Owen Mcadams,Owen Mcadams,2022-05-26,2024-12-06,18,Regional Advisor
Owen Parker,Owen Parker,2021-01-15,2021-07-22,2,Policy Analyst
Owen Ripley,Owen Ripley,2018-11-08,2024-10-08,127,Associate Assistant Deputy Minister
Owen Teo,Owen Teo,2012-10-10,2023-03-14,61,Director of Policy
Owen Thomas Ripley,Owen Thomas Ripley,2021-05-31,2021-05-31,1,Director General
Owen Wilson,Owen Wilson,2021-10-26,2022-03-04,2,Parliamentary Assistant
Owen Woodger,Owen Woodger,2023-01-19,2023-03-09,3,Acting Manager
Owen Yeo,Owen Yeo,2016-06-08,2016-06-08,1,Director of Policy
Oyundari Galsandorj,Oyundari Galsandorj,2014-10-14,2014-10-14,1,Trade Commissioner
Oz Junci,Oz Jungic,2021-12-30,2025-06-14,8,Policy Advisor
Oz Juncic,Oz Jungic,2025-02-21,2025-02-21,1,Policy Advisor
Oz Jungcic,Oz Jungcic,2019-11-29,2019-11-29,1,Policy Advisor
Oz Jungic,Oz Jungic,2019-05-15,2025-05-30,389,Policy Advisor
Oz Jungric,Oz Jungric,2023-09-14,2023-09-14,1,Advisor
Ozren Jungic,Ozren Jungic,2022-01-14,2024-12-20,6,Policy Advisor
