raw name,cleaned name,first_appearance,last_appearance,count,title
Ibrahim Berrada,Ibrahim Berrada,2016-02-17,2016-02-17,1,Special Assistant
Ibrahim Konare,Ibrahim Konare,2019-06-10,2019-10-16,18,Charities Analyst
Ibrahim Mayssam,Ibrahim Mayssam,2022-03-09,2022-03-09,1,Policy Advisor
Ibrahim Yimer,Ibrahim Yimer,2021-08-09,2025-05-28,14,Vice President
Ibrahim Yimmer,Ibrahim Yimmer,2025-04-16,2025-05-29,2,Vice President
Ibrahima Sow,Ibrahima Sow,2016-10-05,2025-05-14,62,Executive Director
Idee Inyandogour,Idee Inyandogour,2014-03-05,2014-03-05,1,Director of Policy
Idee Inyangador,Idee Inyangador,2013-03-05,2013-03-05,1,Senior Policy Advisor
Idee Inyangadour,Idee Inyangudor,2014-06-26,2014-11-05,2,Director of Policy and Stakeholder Relations
Idee Inyangodur,Idee Inyangudor,2013-10-04,2013-10-04,1,Director of Policy and Stakeholder Relations
Idee Inyangudo,Idee Inyangudo,2014-12-17,2014-12-17,1,"Director of Policy, Stakeholder Relations"
Idee Inyangudoor,Idee Inyangudoor,2011-11-10,2011-11-10,1,Advisor to Minister on Food Security and Africa
Idee Inyangudor,Idee Inyangudor,2009-09-09,2015-08-06,160,Director of Policy and Stakeholder Relations
Idee Inyangudur,Idee Inyangudor,2014-05-01,2014-05-01,1,Director of Policy and Stakeholder Relations
Idee Inyanqudor,Idee Inyanqudor,2015-06-25,2015-06-25,1,Policy Advisor
Idzva Tsatsakotwas,Idzva Tsatsakotwas,2021-12-17,2021-12-17,1,Policy Analyst
Ifan Thomas,Ifan Thomas,2021-04-22,2021-04-22,1,"Director, Wood Buffalo Action Plan"
Igneski Jasmine,Igneski Jasmine,2008-09-05,2008-09-05,1,Policy Advisor
Igra Khalid,Iqra Khalid,2018-10-23,2018-10-23,1,Member of Parliament
Iian Goldenblatt,Iian Goldenblatt,2019-12-04,2019-12-04,1,Constituency Assistant
Iian Stewart,Iian Stewart,2014-01-30,2014-01-30,1,Assistant Deputy Minister
Iiona Rehberg,Ilona Rehberg,2016-11-01,2016-11-01,1,Director General
Ikra Khalid,Iqra Khalid,2018-10-23,2018-10-23,1,Member of Parliament
Ikram Belbahri,Ikram Belbahri,2020-07-16,2020-07-16,1,Constituency Assistant
Ila Gupta,Ila Gupta,2024-01-12,2024-04-11,2,Claims Verification Officer
Ilona Rehberg,Ilona Rehberg,2012-05-02,2018-04-26,47,Director General
