raw name,cleaned name,first_appearance,last_appearance,count,title
Harry Gill,Harry Gill,2016-08-22,2024-10-11,5,Assistant Commissioner and Agency Security Officer
Harry Mcguire,Harry Mcguire,2024-12-05,2025-03-19,3,Legislative Assistant
Harry Olbach-miller,Harry Olbach-miller,2021-11-08,2021-11-08,1,Policy and Cabinet Affairs Advisor
Harry Orbach Miller,Harry Orbach Miller,2023-11-06,2024-02-28,2,Policy Advisor
Harry Orbach-miller,Harry Orbach-miller,2020-05-11,2024-10-24,286,Policy Advisor and Senior Coordinator
Harry Orback-miller,Harry Orbach Miller,2023-04-14,2023-04-14,2,Policy Advisor
Hartley Ben,Hartley Ben,2017-05-11,2017-05-11,1,Senior Advisor to the Parliamentary Secretary
Hartley Whitten,Hartley Whitten,2022-08-17,2022-08-17,1,Executive Assistant
Hartley Witten,Hartley Witten,2022-09-20,2024-08-28,3,Exempt Staff
Harun Jasarevic,Harun Jasarevic,2017-11-02,2021-04-09,5,Parliamentary Assistant
Haruna,Haruna,2020-02-13,2020-02-13,1,"Executive Vice Chair | Chief Executive Officer, Naseni"
Harvey Vardy,Harvey Vardy,2021-03-11,2021-03-11,1,"Assistant Commissioner, Coast Guard Atlantic Region"
Harvey Wong,Harvey Wong,2011-01-28,2011-12-01,3,Director of Tourism
Harwood Phil,Harwood Phil,2012-09-26,2012-09-26,1,Policy Advisor
Hasan Hutchinson,Hasan Hutchinson,2009-08-06,2017-08-14,16,Director General
Hasan Hutchison,Hasan Hutchison,2009-11-19,2018-08-22,33,Director General
Hasan Huthison,Hasan Hutchinson,2010-07-08,2010-07-08,1,Director General
Haseeb Hassaan,Haseeb Hassaan,2020-09-24,2023-06-22,21,Policy Advisor
Haseeb Hassan,Haseeb Hassan,2021-02-04,2021-05-04,2,Policy Advisor
Hasina Haq-alam,Hasina Haq-alam,2016-09-27,2016-09-27,1,"Officer, Arbitration"
Hassan Amjoun,Hassan Amjoun,2024-10-30,2024-10-30,1,Senior Project Engineer
Hassan Yussuf,Hassan Yussuff,2021-08-03,2023-11-22,4,Senator
Hassan Yussuff,Hassan Yussuff,2021-11-18,2025-06-11,95,Senator
Hassen Mohammed,Hassen Mohammed,2023-02-14,2023-02-14,1,Consultant
Hatem Khouaja,Hatem Khouaja,2019-08-23,2019-08-23,1,Lead Technical Advisor
Hatton Terry,Hatton Terry,2023-03-28,2023-03-28,1,Director General
Hau Sing Tse,Hau Sing Tse,2010-09-17,2010-10-06,3,Senior Vice President
